Title,Abstract,Speaker,Type,Category,Session_start,Time_start,Time_end,Day,,,,,,
Intro,,Ilaria Ruffa,,Conference,True,09:00,09:10,Monday,,,,,,
Fuelling processes on (sub-)kpc scales,"Since the 1970s, astronomers have struggled with the issue of how matter
can be accreted to promote black hole growth. While low-angular-momentum
stars may be devoured by the black hole, they are not a sustainable source
of fuel. Gas, which could potentially provide an abundant fuel source,
presents another challenge due to its enormous angular momentum.
While viscous torques are not significant, gas is subject to gravity torques
from non-axisymmetric potentials such as bars and spirals. Primary bars
can exchange angular momentum with the gas inside corotation, driving
it inward spiraling until the inner Lindblad resonance is reached.
An embedded nuclear bar can then take over. As the gas reaches the black
hole's sphere of influence, the torque turns negative, fueling the center.
Dynamical friction also accelerates the infall of gas clouds closer to
the nucleus. However, due to the Eddington limit, growing a black hole from
a stellar-mass seed is a slow process. The existence of very massive black
holes in the early universe remains a puzzle that could potentially be
solved through direct collapse of massive clouds into black holes or
super-Eddington accretion.",Francoise Combes,Invited,Fuelling,False,09:10,09:40,Monday,,,,,,
On the origin of radio-loudness in active galactic nuclei using far-infrared polarimetric observations,"To explain the transfer of energy surrounding supermassive black holes (SMBH), most of the theoretical models, if not all, must incorporate magnetic fields (B-fields)—matter rotating around an SMBH must have a B-field to account for the loss of angular momentum. Although this process can explain the dynamics of matter at sub-pc scales, there are still no clear observations of how the matter from the host galaxy, which contains kpc-scale B-fields in close equipartition with the diffuse ISM, feeds SMBHs at 10-100pc-scales.

We have observed the signature of magnetically aligned dust grains at distances of a few 10pc at infrared/sub-mm wavelengths in a sample of RL and RQ AGN. We found that RQ AGN are low polarized, while RL AGN are highly polarized at 10-100um. These results are particularly interesting because the dusty torus represents the AGN accretion flow on pc-scales, and this result, besides the radio differences, may be the most telling and dramatic empirical difference between RL vs. RQ AGN. For RL AGN, the B-fields at pc-scales may be able to compress and sustain the dusty torus, which extends the inflow/outflow processes from sub-pc scales to pc-scales and links the inflow and outflow with the dynamics of the host galaxy.",Enrique Lopez Rodriguez,Contributed,Fuelling,False,09:40,09:55,Monday,,,,,,
Observing AGN fuelling via molecular absorption lines,"AGN and their jets are, to a large extent, powered by the accretion of cold molecular gas. Unfortunately, observing this gas on small spatial scales is difficult because it can normally only be seen en masse through emission lines.

I will present observations of the molecular gas in massive galaxies on scales of just tens to hundreds of solar masses. We see the gas on this incredibly small mass scale using high angular resolution observations of the galaxies’ bright and extremely compact continuum sources — against which we see the shadows of gas clouds in the form of absorption lines. Our ALMA surveys of several galaxies have detected dozens of ~100 solar mass molecular clouds.

The velocities of the clouds are revealed by the absorption’s redshift and in many cases, they’re moving towards their supermassive black hole at several hundred km/s. I will explain how these observations show the early stages of individual clouds accreting onto their host AGN.

Characteristics of the absorption lines, such as their strength and width, can then be used to infer the clouds’ mass, temperature, and chemistry. Through this, we show that the gas fuelling AGN and their jets has remarkably similar properties to gas present in the Milky Way.",Tom Rose,Contributed,Fuelling,False,09:55,10:10,Monday,,,,,,
"The link between circumnuclear molecular gas reservoirs, millimetre continua and active galactic nucleus fuelling","Supermassive black holes (SMBHs) exist in almost all massive galaxies, and accretion of material onto these SMBHs is known to power active galactic nuclei (AGN). In this talk, I will the present results obtained by analysing ALMA data of a diverse sample of 35 nearby galaxies to study the link between circumnuclear (≤100pc) molecular gas reservoirs and AGN fuelling to better understand the powering mechanism. We find that the cold molecular gas mass within the nuclear regions does not correlate with any measure of AGN activity. This suggests that the AGN fuelling is not a ubiquitous process, even when cold gas is present. I will then discuss the origin of the nuclear mm emission in these sources. We find a strong relation between the nuclear mm emission from our galaxies and the SMBH mass, and an even tighter correlation is observed if the 2-10 keV X-ray emission is included. Classic torus models cannot explain the existence of the observed correlations, that we find instead naturally arising from advection-dominated accretion flows (ADAFs). This result suggests that radiatively-inefficient processes are ongoing in our sources (spanning a wide range of AGN types), and provides a new method to indirectly measure SMBH masses.",Jacob Elford,Contributed,Fuelling,False,10:10,10:25,Monday,,,,,,
Flash Talks 1,Simulating the building and evolution of central gas reservoirs: Towards black hole fuelling <p> Active galactic nuclei jets in simulations of galaxies <p> Black hole spin evolution in hydrodynamical simulations: a step towards AGN jet feedback modelling  ,"Pierrick Verwilghen, Filip Huško, Luca Sala",Contributed,Fuelling <p> Jet formation and physics,False,10:25,10:40,Monday,,,,,,
Long poster break,,,,Conference,False,10:40,11:20,Monday,,,,,,
Gas replenishing mechanism(s) and the role of the large-scale environment,"The observed coevolution of supermassive black holes (SMBH) and galaxies is partly due to the fact that both feed on gas accreting into the central region of galaxies. Indeed, recent stellar population studies of the inner kpc of Active Galactic Nuclei (AGN) hosts – where the nuclear SMBH is growing, indicate an excess of young to intermediate age (~100 Myr) stars. This suggests that the AGN triggering occurs following a gas inflow that forms stars in its way towards the galaxy nucleus. I will discuss what we know about the large scale environment of AGN and signatures of their triggering: in the most luminous sources, major mergers are frequent, while in low  luminosity AGNs subtle asymmetries on the host galaxy images also suggest external gas capture – e.g. via chaotic cold accretion, a minor merger or secular processes in the late-type host galaxies. While bars do not appear to directly feed AGNs, AGN flickering leads to the dissociation between small and large scales, hence affecting the interpretation of cause and effect. At ~100 pc scales, recent observations have revealed compact disks and inflows along nuclear gaseous spirals and bars, both in ionized and molecular gas, while chaotic cold accretion continues to feed luminous early-type galaxies at these scales.",Thaisa Storchi Bergmann,Invited,Fuelling,True,11:20,11:50,Monday,,,,,,
Mergers are the dominant trigger for high luminosity HERGs,"Considerable uncertainty remains about the triggering of radio AGN. Here we present the results of deep imaging observations of a large sample of high-excitation radio galaxies (HERGs) covering a wide range of radio power (10^22.5 <  L_1.4 < 10^28 W/Hz) and [OIII] emission line luminosity (10^32.5 <  L_[OIII]) < 10^36.5 W). We find that the rate of detection of tidal features suggestive of galaxy mergers increases with [OIII] emission-line luminosity. At the highest, quasar-like [OIII] luminosities (L_[OIII] > 10^35 W), the HERGs show a rate of morphological disturbance that is 3x higher than that of a sample of non-AGN control galaxies matched in stellar mass and redshift – similar to recent results for samples of nearby radio-quiet quasars. In contrast, at the lowest [OIII] luminosities the rate of morphological disturbance in the HERGs is consistent with that of the controls. Moreover, the overall morphologies of the host galaxies become increasing dominated by late-type morphologies at low luminosities. Overall, these results are consistent with galaxy mergers dominating the triggering of HERGs at high {OIII] luminosities, and secular processes becoming increasingly important at low luminosities. ",Clive Tadhunter,Contributed,Fuelling,False,11:50,12:05,Monday,,,,,,
Fuelling AGN with galaxy interactions,"Identifying black hole gas fuelling mechanisms is important to understand how supermassive black holes grow and what physical conditions favour the onset of black hole activity. However, it is challenging to find clear observational signatures of black hole fuelling. In this presentation I will show that galaxy interactions, such as major mergers, minor mergers or galaxy flybys, provide the necessary conditions to fuel AGN. I will describe how we use kinematically misaligned gas to observationally identify galaxies that went through an interaction. With this method we have recently shown that galaxies that have misaligned gas have a higher observed fraction of AGN. This is the first time that an observational connection is seen between the process of formation and/or presence of misaligned structures and the fuelling of active supermassive black holes. In this presentation I will also discuss the dependence of this trend on morphology and the incidence of radio, X-ray and optically detected AGN in galaxies with misaligned gas.",Sandra Raimundo,Contributed,Fuelling,False,12:05,12:20,Monday,,,,,,
